Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml
2024-05-29,-1.057052909384737,2.872395204774548,-0.4116797988470657,3.0689766333394504,-1.3930843818654282,2.70670238429029,4.026545210559841,1,-0.07168598596099907,0.0,1.0
2024-05-30,1.1577009906272195,2.7772177274780216,0.3716837933475503,2.9635350749795166,-1.309249229781173,2.707241586594625,4.026459163010686,1,-0.09517747729652637,0.0,1.0
2024-05-31,-1.286049277080714,2.682687981595722,-0.526152671309634,2.866108239100548,-1.5097462010579932,2.7061599027893646,4.0263731154615305,0,-0.09452974588229957,0.0,0.0
2024-06-01,0.3188258104856345,2.6139487760222666,0.0739768282887966,2.7780661761212206,-2.4619752899482705,2.7061369484132243,4.026252230508345,0,-0.06873920557345548,0.0,0.0
2024-06-02,0.0659449960522806,2.510182808592613,-0.0237071078927552,2.6912864996926342,-0.8006303893003164,2.70599281815492,4.026113926853144,0,-0.10376596742965383,0.0,0.0
2024-06-03,1.5425138658129,2.4128333998191662,0.5873010938894409,2.5993741387015583,1.7989363858973206,2.7058484865207357,4.025975623197944,0,-0.09734940877344656,0.0,0.0
2024-06-04,2.5300225248924946,2.3673231196248223,1.015733059096491,2.517395217130918,3.171257920162596,2.705824827329015,4.025641538627527,0,-0.04551028019434389,0.0,0.0
2024-06-05,0.7272217816602478,2.409820907177299,0.2497146610114659,2.462821802247233,5.184528978903558,2.7055473388796667,4.024915892226681,0,0.042497787552476574,0.0,0.0
2024-06-06,-0.4591890272017451,2.3276156904437086,-0.2511768589325934,2.4055551851315213,4.406514141216178,2.7048060645732352,4.024190245825833,0,-0.08220521673359027,0.0,0.0
2024-06-07,-2.0194557079891595,2.2510544873507987,-0.9528467172909562,2.3537295208831592,2.3211134371747377,2.703502815625721,4.023464599424987,0,-0.07656120309290992,0.0,0.0
2024-06-08,-0.0531019638904339,2.2808710205047964,-0.078284187493005,2.327337045020285,0.7254976074714037,2.7030565350370463,4.021708840610753,0,0.029816533153997682,0.0,0.0
2024-06-09,0.4925659126588044,2.2004241935587667,0.1668368049248476,2.293957259807074,-1.3119590047622864,2.702732216817838,4.019953081796519,0,-0.08044682694602967,0.0,0.0
2024-06-10,-0.195042704602244,2.12842359409495,-0.150579459942818,2.237677797190604,-2.2342234910247782,2.7025068338147213,4.018197322982288,0,-0.07200059946381687,0.0,0.0
2024-06-11,-3.1867374917879943,2.061060577049369,-1.6070326604644871,2.1843667745117363,-4.961771955611027,2.70232623144556,4.017487384220724,0,-0.06736301704558079,0.0,0.0
2024-06-12,1.3412234174300153,2.267290060659271,0.5362213101002061,2.1876138891734307,-1.6010928301918526,2.702258409503574,4.017300355485492,0,0.2062294836099019,0.0,0.0
2024-06-13,-2.199815542116035,2.222383658810919,-1.0462953611197312,2.175916416834655,-3.747806408417453,2.702083911099211,4.017113326750261,0,-0.04490640184835204,0.0,0.0
2024-06-14,-1.122733440538859,2.2743307481961543,-0.5488153437027408,2.190697727762133,-5.363105761615117,2.7015299411117284,4.016905580269509,0,0.0519470893852354,0.0,0.0
2024-06-15,0.2721687016485674,2.230697752053441,0.0657706902637911,2.211152559353831,-4.895894355364305,2.699155556395656,4.016656398297719,0,-0.04363299614271332,0.0,0.0
2024-06-16,0.6746193121200506,2.15366338878232,0.2549911672614833,2.229673121700421,-1.0345375514562605,2.6973058708368445,4.016407216325927,0,-0.07703436327112101,0.0,0.0
